date,realtime_end,realtime_start,INDPRO
1919-09-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.8011
1919-09-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.1613
1919-09-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.1718
1919-09-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.1828
1919-09-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.1795
1919-09-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.1803
1919-09-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.3692
1919-09-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.3939
1919-09-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.3684
1919-09-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.3447
1919-10-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,10.8
1919-10-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.4
1919-10-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.045
1919-10-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.049
1919-10-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1919-10-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.7418
1919-10-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.741
1919-10-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.1078
1919-10-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.1182
1919-10-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.129
1919-10-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,5.1259
1919-10-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,5.1266
1919-10-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.3136
1919-10-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.338
1919-10-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.3128
1919-10-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.2893
1919-11-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,10.6
1919-11-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.3
1919-11-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,7.919
1919-11-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,7.923
1919-11-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1919-11-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.6516
1919-11-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.6508
1919-11-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,5.0276
1919-11-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,5.0378
1919-11-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,5.0485
