date,realtime_end,realtime_start,GDPC1
1951-01-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2302.3
1951-01-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2304.5
1951-01-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2304.542
1951-04-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1548.3
1951-04-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1951-04-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1724.0
1951-04-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1951-04-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1803.7
1951-04-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1903.1
1951-04-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2147.6
1951-04-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2145.7
1951-04-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2342.3
1951-04-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2344.5
1951-04-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2344.517
1951-07-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1585.4
1951-07-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1951-07-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1758.2
1951-07-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1951-07-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1839.8
1951-07-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1941.1
1951-07-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2190.4
1951-07-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2188.5
1951-07-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2390.5
1951-07-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2392.8
1951-07-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2392.808
1951-10-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1596.0
1951-10-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1951-10-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1760.6
1951-10-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1951-10-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1843.3
1951-10-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1944.4
1951-10-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2194.1
1951-10-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2192.2
1951-10-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2395.8
1951-10-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2398.1
1951-10-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2398.105
1952-01-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1607.7
1952-01-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1952-01-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1779.2
1952-01-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1952-01-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1864.7
1952-01-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1964.7
1952-01-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2216.2
1952-01-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2214.3
1952-01-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2421.1
1952-01-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2423.5
1952-01-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2423.457
1952-04-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1612.1
1952-04-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1952-04-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1778.8
1952-04-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1952-04-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1866.2
1952-04-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1966.0
1952-04-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2218.6
1952-04-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2216.7
1952-04-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,2426.2
1952-04-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,2428.5
1952-04-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,2428.516
1952-07-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1621.9
1952-07-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1952-07-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1790.9
1952-07-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1952-07-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1878.0
1952-07-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1978.8
1952-07-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,2233.5
1952-07-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,2231.6
