date,realtime_end,realtime_start,HOUST
1971-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2295.0
1972-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2494.0
1972-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2390.0
1972-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2334.0
1972-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2249.0
1972-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2221.0
1972-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2254.0
1972-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2252.0
1972-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2382.0
1972-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2481.0
1972-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2485.0
1972-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2421.0
1972-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2366.0
1973-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2481.0
1973-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2289.0
1973-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2365.0
1973-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2084.0
1973-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2266.0
1973-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2067.0
1973-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2123.0
1973-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,2051.0
1973-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1874.0
1973-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1677.0
1973-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1724.0
1973-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1526.0
1974-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1451.0
1974-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1752.0
1974-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1555.0
1974-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1607.0
1974-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1426.0
1974-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1513.0
1974-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1316.0
1974-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1142.0
1974-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1150.0
1974-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1070.0
1974-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1026.0
1974-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,975.0
1975-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1032.0
1975-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,904.0
1975-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,993.0
1975-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1005.0
1975-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1121.0
1975-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1087.0
1975-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1226.0
1975-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1260.0
1975-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1264.0
1975-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1344.0
1975-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1360.0
1975-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1321.0
1976-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1367.0
1976-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1538.0
1976-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1421.0
1976-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1395.0
1976-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1459.0
1976-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1495.0
1976-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1401.0
1976-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1550.0
1976-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1720.0
1976-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1629.0
