date,realtime_end,realtime_start,PAYEMS
1943-06-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42546.0
1943-06-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,42781.0
1943-07-01 00:00:00,2003-06-05 00:00:00,1990-01-01 00:00:00,42441.0
1943-07-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,42701.0
1943-08-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42425.0
1943-08-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42429.0
1943-08-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,42546.0
1943-09-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42368.0
1943-09-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42380.0
1943-09-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,42484.0
1943-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,42485.0
1943-10-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42604.0
1943-10-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42613.0
1943-10-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,42675.0
1943-11-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42664.0
1943-11-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42667.0
1943-11-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,42819.0
1943-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,42820.0
1943-12-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42591.0
1943-12-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42608.0
1943-12-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,42747.0
1943-12-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,42746.0
1944-01-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42502.0
1944-01-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42496.0
1944-01-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,42661.0
1944-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,42655.0
1944-02-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42388.0
1944-02-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42381.0
1944-02-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,42543.0
1944-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,42544.0
1944-03-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,42196.0
1944-03-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,42183.0
1944-03-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,42291.0
1944-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,42292.0
1944-04-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41897.0
1944-04-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41884.0
1944-04-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,42062.0
1944-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,42063.0
1944-05-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41783.0
1944-05-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41784.0
1944-05-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,41985.0
1944-06-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41735.0
1944-06-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41737.0
1944-06-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,41947.0
1944-07-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41631.0
1944-07-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41636.0
1944-07-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41904.0
1944-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41905.0
1944-08-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41674.0
1944-08-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41679.0
1944-08-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41848.0
1944-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41850.0
1944-09-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41530.0
1944-09-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41542.0
1944-09-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41671.0
1944-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41672.0
1944-10-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41614.0
1944-10-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41623.0
1944-10-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41708.0
1944-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41709.0
1944-11-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41565.0
1944-11-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41562.0
1944-11-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41711.0
1944-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41712.0
1944-12-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41707.0
1944-12-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41721.0
1944-12-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,41861.0
1945-01-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41784.0
1945-01-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41767.0
1945-01-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41903.0
1945-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41897.0
1945-02-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41783.0
1945-02-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41770.0
1945-02-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41903.0
1945-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41904.0
1945-03-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41678.0
1945-03-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41715.0
1945-03-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,41795.0
1945-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,41796.0
1945-04-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41364.0
1945-04-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41276.0
1945-04-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,41443.0
1945-05-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,41085.0
1945-05-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,41120.0
1945-05-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,41304.0
1945-06-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,40888.0
