date,realtime_end,realtime_start,TCU
1969-09-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.9
1969-09-01 00:00:00,2005-11-06 00:00:00,1997-01-27 00:00:00,87.3
1969-09-01 00:00:00,2009-03-26 00:00:00,2005-11-07 00:00:00,87.4
1969-09-01 00:00:00,2011-03-24 00:00:00,2009-03-27 00:00:00,87.5
1969-09-01 00:00:00,2018-02-14 00:00:00,2011-03-25 00:00:00,87.4
1969-09-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.4242
1969-09-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.4156
1969-10-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.7
1969-10-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,87.1
1969-10-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,87.0
1969-10-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,87.1
1969-10-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,87.0
1969-10-01 00:00:00,2008-03-27 00:00:00,2005-11-07 00:00:00,87.1
1969-10-01 00:00:00,2016-03-31 00:00:00,2008-03-28 00:00:00,87.2
1969-10-01 00:00:00,2018-02-14 00:00:00,2016-04-01 00:00:00,87.1
1969-10-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.1427
1969-10-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.1337
1969-11-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,85.6
1969-11-01 00:00:00,2005-11-06 00:00:00,1997-01-27 00:00:00,85.9
1969-11-01 00:00:00,2009-03-26 00:00:00,2005-11-07 00:00:00,86.0
1969-11-01 00:00:00,2011-03-24 00:00:00,2009-03-27 00:00:00,86.1
1969-11-01 00:00:00,2018-02-14 00:00:00,2011-03-25 00:00:00,86.0
1969-11-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,86.0193
1969-11-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,86.01
1969-12-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,85.0
1969-12-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,85.4
1969-12-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,85.3
1969-12-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,85.4
1969-12-01 00:00:00,2018-02-14 00:00:00,2005-11-07 00:00:00,85.5
1969-12-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,85.4892
1969-12-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,85.4795
1970-01-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,83.2
1970-01-01 00:00:00,2005-11-06 00:00:00,1997-01-27 00:00:00,83.5
1970-01-01 00:00:00,2008-03-27 00:00:00,2005-11-07 00:00:00,83.6
1970-01-01 00:00:00,2011-03-24 00:00:00,2008-03-28 00:00:00,83.7
1970-01-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,83.6
1970-01-01 00:00:00,2014-04-15 00:00:00,2012-03-30 00:00:00,83.7
1970-01-01 00:00:00,2018-02-14 00:00:00,2014-04-16 00:00:00,83.6
1970-01-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,83.628
1970-01-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,83.6181
1970-02-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,82.9
1970-02-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,83.2
1970-02-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,83.1
1970-02-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,83.2
1970-02-01 00:00:00,2009-03-26 00:00:00,2005-11-07 00:00:00,83.3
1970-02-01 00:00:00,2011-03-24 00:00:00,2009-03-27 00:00:00,83.4
1970-02-01 00:00:00,2018-02-14 00:00:00,2011-03-25 00:00:00,83.3
1970-02-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,83.3106
1970-02-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,83.3005
1970-03-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,82.5
1970-03-01 00:00:00,2005-11-06 00:00:00,1997-01-27 00:00:00,82.8
1970-03-01 00:00:00,2008-03-27 00:00:00,2005-11-07 00:00:00,82.9
1970-03-01 00:00:00,2016-03-31 00:00:00,2008-03-28 00:00:00,83.0
1970-03-01 00:00:00,2018-02-14 00:00:00,2016-04-01 00:00:00,82.9
1970-03-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,82.9417
1970-03-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,82.9311
1970-04-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,82.1
1970-04-01 00:00:00,2003-01-16 00:00:00,1997-01-27 00:00:00,82.4
1970-04-01 00:00:00,2003-11-09 00:00:00,2003-01-17 00:00:00,82.3
1970-04-01 00:00:00,2005-11-06 00:00:00,2003-11-10 00:00:00,82.4
