date,realtime_end,realtime_start,PPI
1994-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.7
1994-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.7
1994-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.9
1994-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,120.5
1994-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,120.7
1994-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,121.2
1994-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,121.0
1994-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,120.9
1994-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,121.5
1994-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,121.9
1995-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,122.9
1995-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,123.5
1995-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,123.9
1995-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,124.6
1995-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,124.9
1995-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,125.3
1995-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,125.3
1995-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,125.1
1995-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,125.2
1995-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,125.3
1995-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,125.4
1995-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,125.7
1996-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,126.3
1996-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,126.2
1996-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,126.4
1996-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,127.4
1996-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,128.1
1996-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,128.0
1996-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,128.0
1996-08-01 00:00:00,1997-01-08 00:00:00,1996-12-11 00:00:00,128.1
1996-08-01 00:00:00,2018-06-30 00:00:00,1997-01-09 00:00:00,128.3
1996-09-01 00:00:00,1997-02-13 00:00:00,1996-12-11 00:00:00,128.0
1996-09-01 00:00:00,2018-06-30 00:00:00,1997-02-14 00:00:00,128.2
1996-10-01 00:00:00,1997-03-13 00:00:00,1996-12-11 00:00:00,127.9
1996-10-01 00:00:00,2018-06-30 00:00:00,1997-03-14 00:00:00,128.0
1996-11-01 00:00:00,1997-04-10 00:00:00,1996-12-11 00:00:00,128.1
1996-11-01 00:00:00,2018-06-30 00:00:00,1997-04-11 00:00:00,128.2
1996-12-01 00:00:00,1997-05-13 00:00:00,1997-01-09 00:00:00,128.8
1996-12-01 00:00:00,2018-06-30 00:00:00,1997-05-14 00:00:00,129.1
1997-01-01 00:00:00,2018-06-30 00:00:00,1997-02-14 00:00:00,129.7
1997-02-01 00:00:00,1997-07-10 00:00:00,1997-03-14 00:00:00,128.7
1997-02-01 00:00:00,2018-06-30 00:00:00,1997-07-11 00:00:00,128.5
1997-03-01 00:00:00,1997-08-12 00:00:00,1997-04-11 00:00:00,127.7
1997-03-01 00:00:00,2018-06-30 00:00:00,1997-08-13 00:00:00,127.3
1997-04-01 00:00:00,1997-09-11 00:00:00,1997-05-14 00:00:00,127.2
1997-04-01 00:00:00,2018-06-30 00:00:00,1997-09-12 00:00:00,127.0
1997-05-01 00:00:00,1997-10-09 00:00:00,1997-06-13 00:00:00,127.3
1997-05-01 00:00:00,2018-06-30 00:00:00,1997-10-10 00:00:00,127.4
1997-06-01 00:00:00,2018-06-30 00:00:00,1997-07-11 00:00:00,127.2
1997-07-01 00:00:00,2018-06-30 00:00:00,1997-08-13 00:00:00,126.9
1997-08-01 00:00:00,2018-06-30 00:00:00,1997-09-12 00:00:00,127.2
1997-09-01 00:00:00,2018-06-30 00:00:00,1997-10-10 00:00:00,127.5
1997-10-01 00:00:00,2018-06-30 00:00:00,1997-11-14 00:00:00,127.8
1997-11-01 00:00:00,1998-04-08 00:00:00,1997-12-12 00:00:00,127.8
1997-11-01 00:00:00,2018-06-30 00:00:00,1998-04-09 00:00:00,127.9
1997-12-01 00:00:00,1998-05-12 00:00:00,1998-01-08 00:00:00,126.7
1997-12-01 00:00:00,2018-06-30 00:00:00,1998-05-13 00:00:00,126.8
1998-01-01 00:00:00,1998-06-11 00:00:00,1998-02-18 00:00:00,125.5
1998-01-01 00:00:00,2018-06-30 00:00:00,1998-06-12 00:00:00,125.4
1998-02-01 00:00:00,1998-07-09 00:00:00,1998-03-13 00:00:00,125.1
1998-02-01 00:00:00,2018-06-30 00:00:00,1998-07-10 00:00:00,125.0
1998-03-01 00:00:00,1998-08-13 00:00:00,1998-04-09 00:00:00,124.5
1998-03-01 00:00:00,2018-06-30 00:00:00,1998-08-14 00:00:00,124.7
1998-04-01 00:00:00,1998-09-10 00:00:00,1998-05-13 00:00:00,124.7
1998-04-01 00:00:00,2018-06-30 00:00:00,1998-09-11 00:00:00,124.9
1998-05-01 00:00:00,1998-10-14 00:00:00,1998-06-12 00:00:00,124.9
1998-05-01 00:00:00,2018-06-30 00:00:00,1998-10-15 00:00:00,125.1
1998-06-01 00:00:00,2018-06-30 00:00:00,1998-07-10 00:00:00,124.8
1998-07-01 00:00:00,1998-12-10 00:00:00,1998-08-14 00:00:00,124.8
1998-07-01 00:00:00,2018-06-30 00:00:00,1998-12-11 00:00:00,124.9
1998-08-01 00:00:00,2018-06-30 00:00:00,1998-09-11 00:00:00,124.2
1998-09-01 00:00:00,1999-02-17 00:00:00,1998-10-15 00:00:00,123.9
1998-09-01 00:00:00,2018-06-30 00:00:00,1999-02-18 00:00:00,123.8
1998-10-01 00:00:00,2018-06-30 00:00:00,1998-11-13 00:00:00,124.0
1998-11-01 00:00:00,1999-04-08 00:00:00,1998-12-11 00:00:00,123.5
1998-11-01 00:00:00,2018-06-30 00:00:00,1999-04-09 00:00:00,123.6
1998-12-01 00:00:00,1999-05-12 00:00:00,1999-01-12 00:00:00,122.7
1998-12-01 00:00:00,2018-06-30 00:00:00,1999-05-13 00:00:00,122.8
1999-01-01 00:00:00,1999-06-10 00:00:00,1999-02-18 00:00:00,123.2
1999-01-01 00:00:00,2018-06-30 00:00:00,1999-06-11 00:00:00,122.9
1999-02-01 00:00:00,1999-07-13 00:00:00,1999-03-12 00:00:00,122.4
1999-02-01 00:00:00,2018-06-30 00:00:00,1999-07-14 00:00:00,122.3
1999-03-01 00:00:00,1999-08-12 00:00:00,1999-04-09 00:00:00,122.8
1999-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,122.6
1999-04-01 00:00:00,1999-09-09 00:00:00,1999-05-13 00:00:00,123.5
1999-04-01 00:00:00,2018-06-30 00:00:00,1999-09-10 00:00:00,123.6
1999-05-01 00:00:00,1999-10-14 00:00:00,1999-06-11 00:00:00,124.5
1999-05-01 00:00:00,2018-06-30 00:00:00,1999-10-15 00:00:00,124.7
1999-06-01 00:00:00,1999-11-09 00:00:00,1999-07-14 00:00:00,125.1
1999-06-01 00:00:00,2018-06-30 00:00:00,1999-11-10 00:00:00,125.2
1999-07-01 00:00:00,1999-12-09 00:00:00,1999-08-13 00:00:00,125.5
1999-07-01 00:00:00,2018-06-30 00:00:00,1999-12-10 00:00:00,125.7
1999-08-01 00:00:00,2000-01-12 00:00:00,1999-09-10 00:00:00,126.8
1999-08-01 00:00:00,2018-06-30 00:00:00,2000-01-13 00:00:00,126.9
1999-09-01 00:00:00,2018-06-30 00:00:00,1999-10-15 00:00:00,128.0
1999-10-01 00:00:00,2000-03-15 00:00:00,1999-11-10 00:00:00,127.9
1999-10-01 00:00:00,2018-06-30 00:00:00,2000-03-16 00:00:00,127.7
1999-11-01 00:00:00,2000-04-12 00:00:00,1999-12-10 00:00:00,128.4
1999-11-01 00:00:00,2018-06-30 00:00:00,2000-04-13 00:00:00,128.3
1999-12-01 00:00:00,2000-05-11 00:00:00,2000-01-13 00:00:00,128.0
1999-12-01 00:00:00,2018-06-30 00:00:00,2000-05-12 00:00:00,127.8
2000-01-01 00:00:00,2018-06-30 00:00:00,2000-02-17 00:00:00,128.3
2000-02-01 00:00:00,2018-06-30 00:00:00,2000-03-16 00:00:00,129.8
2000-03-01 00:00:00,2000-08-10 00:00:00,2000-04-13 00:00:00,131.0
2000-03-01 00:00:00,2018-06-30 00:00:00,2000-08-11 00:00:00,130.8
2000-04-01 00:00:00,2018-06-30 00:00:00,2000-05-12 00:00:00,130.7
2000-05-01 00:00:00,2018-06-30 00:00:00,2000-06-09 00:00:00,131.6
2000-06-01 00:00:00,2000-11-08 00:00:00,2000-07-14 00:00:00,133.3
2000-06-01 00:00:00,2018-06-30 00:00:00,2000-11-09 00:00:00,133.8
2000-07-01 00:00:00,2000-12-13 00:00:00,2000-08-11 00:00:00,133.2
2000-07-01 00:00:00,2018-06-30 00:00:00,2000-12-14 00:00:00,133.7
2000-08-01 00:00:00,2018-06-30 00:00:00,2000-09-14 00:00:00,132.9
2000-09-01 00:00:00,2001-02-15 00:00:00,2000-10-13 00:00:00,134.5
