RRS,date,realtime_end,realtime_start
119443.36107660818,1987-10-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
119480.3813789122,1987-11-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
120762.34156155422,1987-12-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
120752.82205524747,1988-01-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
121463.61185948462,1988-02-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
123131.6409090114,1988-03-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
121948.04895820578,1988-04-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
122615.47212260109,1988-05-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
122682.10866674832,1988-06-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
122510.75755322685,1988-07-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
122800.57363412117,1988-08-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
121786.21735099106,1988-09-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
123935.51033047009,1988-10-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
124554.27824040868,1988-11-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
125030.25355574607,1988-12-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
125425.84192893757,1989-01-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
123341.07004775984,1989-02-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
123438.38055667326,1989-03-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
124828.22847745841,1989-04-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
125052.46573712847,1989-05-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
124786.9772834625,1989-06-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
124907.55769668131,1989-07-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
126862.22965833348,1989-08-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
126433.85187452985,1989-09-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
124438.98644180474,1989-10-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
125127.56406465948,1989-11-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
124955.15522821505,1989-12-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
127657.6372964084,1990-01-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
126175.76748132468,1990-02-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
126166.24797501793,1990-03-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
124855.72927345568,1990-04-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
124411.48564580746,1990-05-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
124739.37975192878,1990-06-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
124591.2985427127,1990-07-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
124159.74759014013,1990-08-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
123725.02346879867,1990-09-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
123340.01232483688,1990-10-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
122721.24441489828,1990-11-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
121251.00955196726,1990-12-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
118102.16841027974,1991-01-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
119945.77946501986,1991-02-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
120625.89530449083,1991-03-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
121581.01910393451,1991-04-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
121175.91122443625,1991-05-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
121080.71616136878,1991-06-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
121300.72252934694,1991-07-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
120273.67357114117,1991-08-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
120037.80135931843,1991-09-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
