date,realtime_end,realtime_start,BP
1997-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1469.0
1997-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1456.0
1998-01-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1578.0
1998-01-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1555.0
1998-02-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1661.0
1998-02-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1647.0
1998-03-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1606.0
1998-03-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1605.0
1998-04-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1529.0
1998-04-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1547.0
1998-05-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1549.0
1998-05-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1554.0
1998-06-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1531.0
1998-06-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1551.0
1998-07-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1626.0
1998-07-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1610.0
1998-08-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1670.0
1998-08-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1654.0
1998-09-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1569.0
1998-09-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1577.0
1998-10-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1726.0
1998-10-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1719.0
1998-11-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1688.0
1998-11-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1672.0
1998-12-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1708.0
1998-12-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1742.0
1999-01-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1778.0
1999-01-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1745.0
1999-01-01 00:00:00,2018-06-30 00:00:00,2001-05-16 00:00:00,1732.0
1999-02-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1738.0
1999-02-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1748.0
1999-02-01 00:00:00,2018-06-30 00:00:00,2001-05-16 00:00:00,1720.0
1999-03-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1654.0
1999-03-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1681.0
1999-03-01 00:00:00,2018-06-30 00:00:00,2001-05-16 00:00:00,1665.0
1999-04-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1572.0
1999-04-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1595.0
1999-04-01 00:00:00,2018-06-30 00:00:00,2001-05-16 00:00:00,1600.0
1999-05-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1591.0
1999-05-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1639.0
1999-05-01 00:00:00,2018-06-30 00:00:00,2001-05-16 00:00:00,1640.0
1999-06-01 00:00:00,2000-05-15 00:00:00,1999-08-17 00:00:00,1641.0
1999-06-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1696.0
1999-06-01 00:00:00,2018-06-30 00:00:00,2001-05-16 00:00:00,1702.0
1999-07-01 00:00:00,1999-08-24 00:00:00,1999-08-17 00:00:00,1632.0
1999-07-01 00:00:00,2000-05-15 00:00:00,1999-08-25 00:00:00,1641.0
1999-07-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1673.0
1999-07-01 00:00:00,2018-06-30 00:00:00,2001-05-16 00:00:00,1682.0
1999-08-01 00:00:00,1999-09-26 00:00:00,1999-09-17 00:00:00,1612.0
1999-08-01 00:00:00,2000-05-15 00:00:00,1999-09-27 00:00:00,1619.0
1999-08-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1658.0
1999-08-01 00:00:00,2018-06-30 00:00:00,2001-05-16 00:00:00,1671.0
1999-09-01 00:00:00,1999-10-26 00:00:00,1999-10-19 00:00:00,1501.0
1999-09-01 00:00:00,2000-05-15 00:00:00,1999-10-27 00:00:00,1506.0
1999-09-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1553.0
1999-09-01 00:00:00,2018-06-30 00:00:00,2001-05-16 00:00:00,1551.0
1999-10-01 00:00:00,1999-11-28 00:00:00,1999-11-17 00:00:00,1584.0
1999-10-01 00:00:00,2000-05-15 00:00:00,1999-11-29 00:00:00,1594.0
1999-10-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1636.0
1999-10-01 00:00:00,2018-06-30 00:00:00,2001-05-16 00:00:00,1649.0
1999-11-01 00:00:00,1999-12-27 00:00:00,1999-12-17 00:00:00,1614.0
1999-11-01 00:00:00,2000-05-15 00:00:00,1999-12-28 00:00:00,1612.0
1999-11-01 00:00:00,2001-05-15 00:00:00,2000-05-16 00:00:00,1678.0
1999-11-01 00:00:00,2018-06-30 00:00:00,2001-05-16 00:00:00,1672.0
1999-12-01 00:00:00,2000-01-26 00:00:00,2000-01-19 00:00:00,1611.0
1999-12-01 00:00:00,2000-05-15 00:00:00,2000-01-27 00:00:00,1622.0
1999-12-01 00:00:00,2018-06-30 00:00:00,2000-05-16 00:00:00,1683.0
2000-01-01 00:00:00,2000-02-24 00:00:00,2000-02-16 00:00:00,1763.0
2000-01-01 00:00:00,2000-05-15 00:00:00,2000-02-25 00:00:00,1772.0
