date,realtime_end,realtime_start,VXO
2005-11-01 00:00:00,2018-06-30,2005-11-30,11.61
2005-12-01 00:00:00,2018-06-30,2005-12-31,10.92
2006-01-01 00:00:00,2018-06-30,2006-01-31,11.71
2006-02-01 00:00:00,2018-06-30,2006-02-28,11.87
2006-03-01 00:00:00,2018-06-30,2006-03-31,11.19
2006-04-01 00:00:00,2018-06-30,2006-04-30,11.16
2006-05-01 00:00:00,2018-06-30,2006-05-31,13.49
2006-06-01 00:00:00,2018-06-30,2006-06-30,15.89
2006-07-01 00:00:00,2018-06-30,2006-07-31,14.52
2006-08-01 00:00:00,2018-06-30,2006-08-31,12.56
2006-09-01 00:00:00,2018-06-30,2006-09-30,11.4
2006-10-01 00:00:00,2018-06-30,2006-10-31,10.8
2006-11-01 00:00:00,2018-06-30,2006-11-30,10.48
2006-12-01 00:00:00,2018-06-30,2006-12-31,10.5
2007-01-01 00:00:00,2018-06-30,2007-01-31,10.63
2007-02-01 00:00:00,2018-06-30,2007-02-28,10.92
2007-03-01 00:00:00,2018-06-30,2007-03-31,14.92
2007-04-01 00:00:00,2018-06-30,2007-04-30,12.25
2007-05-01 00:00:00,2018-06-30,2007-05-31,12.97
2007-06-01 00:00:00,2018-06-30,2007-06-30,14.88
2007-07-01 00:00:00,2018-06-30,2007-07-31,17.25
2007-08-01 00:00:00,2018-06-30,2007-08-31,25.12
2007-09-01 00:00:00,2018-06-30,2007-09-30,22.18
2007-10-01 00:00:00,2018-06-30,2007-10-31,18.86
2007-11-01 00:00:00,2018-06-30,2007-11-30,26.66
2007-12-01 00:00:00,2018-06-30,2007-12-31,23.1
2008-01-01 00:00:00,2018-06-30,2008-01-31,27.99
2008-02-01 00:00:00,2018-06-30,2008-02-29,27.16
2008-03-01 00:00:00,2018-06-30,2008-03-31,29.01
2008-04-01 00:00:00,2018-06-30,2008-04-30,22.53
2008-05-01 00:00:00,2018-06-30,2008-05-31,18.79
2008-06-01 00:00:00,2018-06-30,2008-06-30,23.19
2008-07-01 00:00:00,2018-06-30,2008-07-31,25.66
2008-08-01 00:00:00,2018-06-30,2008-08-31,22.26
2008-09-01 00:00:00,2018-06-30,2008-09-30,33.21
2008-10-01 00:00:00,2018-06-30,2008-10-31,65.45
2008-11-01 00:00:00,2018-06-30,2008-11-30,65.43
2008-12-01 00:00:00,2018-06-30,2008-12-31,55.03
2009-01-01 00:00:00,2018-06-30,2009-01-31,44.29
2009-02-01 00:00:00,2018-06-30,2009-02-28,45.39
2009-03-01 00:00:00,2018-06-30,2009-03-31,46.09
2009-04-01 00:00:00,2018-06-30,2009-04-30,38.9
2009-05-01 00:00:00,2018-06-30,2009-05-31,32.11
2009-06-01 00:00:00,2018-06-30,2009-06-30,27.94
2009-07-01 00:00:00,2018-06-30,2009-07-31,25.92
2009-08-01 00:00:00,2018-06-30,2009-08-31,24.31
2009-09-01 00:00:00,2018-06-30,2009-09-30,23.86
2009-10-01 00:00:00,2018-06-30,2009-10-31,23.25
2009-11-01 00:00:00,2018-06-30,2009-11-30,22.57
2009-12-01 00:00:00,2018-06-30,2009-12-31,19.85
2010-01-01 00:00:00,2018-06-30,2010-01-31,19.53
2010-02-01 00:00:00,2018-06-30,2010-02-28,21.77
2010-03-01 00:00:00,2018-06-30,2010-03-31,16.93
2010-04-01 00:00:00,2018-06-30,2010-04-30,16.14
2010-05-01 00:00:00,2018-06-30,2010-05-31,30.03
2010-06-01 00:00:00,2018-06-30,2010-06-30,28.94
2010-07-01 00:00:00,2018-06-30,2010-07-31,25.02
2010-08-01 00:00:00,2018-06-30,2010-08-31,24.16
