date,realtime_end,realtime_start,SPREAD
1997-12-01 00:00:00,2018-06-30,1997-12-31,0.51
1998-01-01 00:00:00,2018-06-30,1998-01-31,0.36
1998-02-01 00:00:00,2018-06-30,1998-02-28,0.34
1998-03-01 00:00:00,2018-06-30,1998-03-31,0.49
1998-04-01 00:00:00,2018-06-30,1998-04-30,0.56
1998-05-01 00:00:00,2018-06-30,1998-05-31,0.51
1998-06-01 00:00:00,2018-06-30,1998-06-30,0.38
1998-07-01 00:00:00,2018-06-30,1998-07-31,0.37
1998-08-01 00:00:00,2018-06-30,1998-08-31,0.3
1998-09-01 00:00:00,2018-06-30,1998-09-30,0.07
1998-10-01 00:00:00,2018-06-30,1998-10-31,0.46
1998-11-01 00:00:00,2018-06-30,1998-11-30,0.3
1998-12-01 00:00:00,2018-06-30,1998-12-31,0.15
1999-01-01 00:00:00,2018-06-30,1999-01-31,0.27
1999-02-01 00:00:00,2018-06-30,1999-02-28,0.44
1999-03-01 00:00:00,2018-06-30,1999-03-31,0.66
1999-04-01 00:00:00,2018-06-30,1999-04-30,0.77
1999-05-01 00:00:00,2018-06-30,1999-05-31,0.91
1999-06-01 00:00:00,2018-06-30,1999-06-30,1.18
1999-07-01 00:00:00,2018-06-30,1999-07-31,1.1
1999-08-01 00:00:00,2018-06-30,1999-08-31,1.07
1999-09-01 00:00:00,2018-06-30,1999-09-30,1.1
1999-10-01 00:00:00,2018-06-30,1999-10-31,1.09
1999-11-01 00:00:00,2018-06-30,1999-11-30,0.8
1999-12-01 00:00:00,2018-06-30,1999-12-31,0.92
2000-01-01 00:00:00,2018-06-30,2000-01-31,1.16
2000-02-01 00:00:00,2018-06-30,2000-02-29,0.79
2000-03-01 00:00:00,2018-06-30,2000-03-31,0.4
2000-04-01 00:00:00,2018-06-30,2000-04-30,0.17
2000-05-01 00:00:00,2018-06-30,2000-05-31,0.45
2000-06-01 00:00:00,2018-06-30,2000-06-30,0.24
2000-07-01 00:00:00,2018-06-30,2000-07-31,-0.09
2000-08-01 00:00:00,2018-06-30,2000-08-31,-0.45
2000-09-01 00:00:00,2018-06-30,2000-09-30,-0.38
2000-10-01 00:00:00,2018-06-30,2000-10-31,-0.55
2000-11-01 00:00:00,2018-06-30,2000-11-30,-0.64
2000-12-01 00:00:00,2018-06-30,2000-12-31,-0.7
2001-01-01 00:00:00,2018-06-30,2001-01-31,-0.13
2001-02-01 00:00:00,2018-06-30,2001-02-28,0.09
2001-03-01 00:00:00,2018-06-30,2001-03-31,0.35
2001-04-01 00:00:00,2018-06-30,2001-04-30,1.17
2001-05-01 00:00:00,2018-06-30,2001-05-31,1.69
2001-06-01 00:00:00,2018-06-30,2001-06-30,1.71
2001-07-01 00:00:00,2018-06-30,2001-07-31,1.65
2001-08-01 00:00:00,2018-06-30,2001-08-31,1.53
2001-09-01 00:00:00,2018-06-30,2001-09-30,2.04
2001-10-01 00:00:00,2018-06-30,2001-10-31,2.37
2001-11-01 00:00:00,2018-06-30,2001-11-30,2.74
2001-12-01 00:00:00,2018-06-30,2001-12-31,3.37
2002-01-01 00:00:00,2018-06-30,2002-01-31,3.36
2002-02-01 00:00:00,2018-06-30,2002-02-28,3.15
2002-03-01 00:00:00,2018-06-30,2002-03-31,3.45
2002-04-01 00:00:00,2018-06-30,2002-04-30,3.46
2002-05-01 00:00:00,2018-06-30,2002-05-31,3.4
2002-06-01 00:00:00,2018-06-30,2002-06-30,3.2
2002-07-01 00:00:00,2018-06-30,2002-07-31,2.94
2002-08-01 00:00:00,2018-06-30,2002-08-31,2.61
2002-09-01 00:00:00,2018-06-30,2002-09-30,2.21
2002-10-01 00:00:00,2018-06-30,2002-10-31,2.33
2002-11-01 00:00:00,2018-06-30,2002-11-30,2.8
2002-12-01 00:00:00,2018-06-30,2002-12-31,2.82
2003-01-01 00:00:00,2018-06-30,2003-01-31,2.86
2003-02-01 00:00:00,2018-06-30,2003-02-28,2.71
2003-03-01 00:00:00,2018-06-30,2003-03-31,2.66
2003-04-01 00:00:00,2018-06-30,2003-04-30,2.81
2003-05-01 00:00:00,2018-06-30,2003-05-31,2.48
2003-06-01 00:00:00,2018-06-30,2003-06-30,2.39
2003-07-01 00:00:00,2018-06-30,2003-07-31,3.06
2003-08-01 00:00:00,2018-06-30,2003-08-31,3.48
2003-09-01 00:00:00,2018-06-30,2003-09-30,3.31
2003-10-01 00:00:00,2018-06-30,2003-10-31,3.35
2003-11-01 00:00:00,2018-06-30,2003-11-30,3.35
2003-12-01 00:00:00,2018-06-30,2003-12-31,3.36
2004-01-01 00:00:00,2018-06-30,2004-01-31,3.25
2004-02-01 00:00:00,2018-06-30,2004-02-29,3.14
2004-03-01 00:00:00,2018-06-30,2004-03-31,2.88
2004-04-01 00:00:00,2018-06-30,2004-04-30,3.39
2004-05-01 00:00:00,2018-06-30,2004-05-31,3.68
2004-06-01 00:00:00,2018-06-30,2004-06-30,3.44
2004-07-01 00:00:00,2018-06-30,2004-07-31,3.14
2004-08-01 00:00:00,2018-06-30,2004-08-31,2.78
2004-09-01 00:00:00,2018-06-30,2004-09-30,2.45
2004-10-01 00:00:00,2018-06-30,2004-10-31,2.31
2004-11-01 00:00:00,2018-06-30,2004-11-30,2.08
2004-12-01 00:00:00,2018-06-30,2004-12-31,2.01
2005-01-01 00:00:00,2018-06-30,2005-01-31,1.85
2005-02-01 00:00:00,2018-06-30,2005-02-28,1.59
2005-03-01 00:00:00,2018-06-30,2005-03-31,1.7
2005-04-01 00:00:00,2018-06-30,2005-04-30,1.5
2005-05-01 00:00:00,2018-06-30,2005-05-31,1.24
2005-06-01 00:00:00,2018-06-30,2005-06-30,0.96
2005-07-01 00:00:00,2018-06-30,2005-07-31,0.89
2005-08-01 00:00:00,2018-06-30,2005-08-31,0.74
2005-09-01 00:00:00,2018-06-30,2005-09-30,0.71
2005-10-01 00:00:00,2018-06-30,2005-10-31,0.67
2005-11-01 00:00:00,2018-06-30,2005-11-30,0.57
2005-12-01 00:00:00,2018-06-30,2005-12-31,0.5
2006-01-01 00:00:00,2018-06-30,2006-01-31,0.08
2006-02-01 00:00:00,2018-06-30,2006-02-28,0.03
2006-03-01 00:00:00,2018-06-30,2006-03-31,0.09
2006-04-01 00:00:00,2018-06-30,2006-04-30,0.27
2006-05-01 00:00:00,2018-06-30,2006-05-31,0.27
2006-06-01 00:00:00,2018-06-30,2006-06-30,0.19
2006-07-01 00:00:00,2018-06-30,2006-07-31,0.01
2006-08-01 00:00:00,2018-06-30,2006-08-31,-0.21
2006-09-01 00:00:00,2018-06-30,2006-09-30,-0.21
2006-10-01 00:00:00,2018-06-30,2006-10-31,-0.32
2006-11-01 00:00:00,2018-06-30,2006-11-30,-0.47
2006-12-01 00:00:00,2018-06-30,2006-12-31,-0.41
2007-01-01 00:00:00,2018-06-30,2007-01-31,-0.35
2007-02-01 00:00:00,2018-06-30,2007-02-28,-0.44
2007-03-01 00:00:00,2018-06-30,2007-03-31,-0.52
2007-04-01 00:00:00,2018-06-30,2007-04-30,-0.32
2007-05-01 00:00:00,2018-06-30,2007-05-31,-0.12
2007-06-01 00:00:00,2018-06-30,2007-06-30,0.36
2007-07-01 00:00:00,2018-06-30,2007-07-31,0.04
2007-08-01 00:00:00,2018-06-30,2007-08-31,0.35
2007-09-01 00:00:00,2018-06-30,2007-09-30,0.53
2007-10-01 00:00:00,2018-06-30,2007-10-31,0.53
2007-11-01 00:00:00,2018-06-30,2007-11-30,0.8
2007-12-01 00:00:00,2018-06-30,2007-12-31,1.03
2008-01-01 00:00:00,2018-06-30,2008-01-31,0.92
2008-02-01 00:00:00,2018-06-30,2008-02-29,1.57
2008-03-01 00:00:00,2018-06-30,2008-03-31,2.23
2008-04-01 00:00:00,2018-06-30,2008-04-30,2.37
