date,realtime_end,realtime_start,CPI
1994-03-01 00:00:00,1999-02-18 00:00:00,1995-02-15 00:00:00,147.1
1994-03-01 00:00:00,2002-02-19 00:00:00,1999-02-19 00:00:00,147.2
1994-03-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,147.1
1994-04-01 00:00:00,1996-02-27 00:00:00,1995-01-01 00:00:00,147.4
1994-04-01 00:00:00,2002-02-19 00:00:00,1996-02-28 00:00:00,147.3
1994-04-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,147.2
1994-05-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,147.7
1994-05-01 00:00:00,2002-02-19 00:00:00,1995-02-15 00:00:00,147.6
1994-05-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,147.5
1994-06-01 00:00:00,1997-02-18 00:00:00,1995-01-01 00:00:00,148.1
1994-06-01 00:00:00,1998-02-23 00:00:00,1997-02-19 00:00:00,148.0
1994-06-01 00:00:00,1999-02-18 00:00:00,1998-02-24 00:00:00,148.1
1994-06-01 00:00:00,2002-02-19 00:00:00,1999-02-19 00:00:00,148.0
1994-06-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,147.9
1994-07-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,148.6
1994-07-01 00:00:00,1996-02-27 00:00:00,1995-02-15 00:00:00,148.5
1994-07-01 00:00:00,1997-02-18 00:00:00,1996-02-28 00:00:00,148.6
1994-07-01 00:00:00,2002-02-19 00:00:00,1997-02-19 00:00:00,148.5
1994-07-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,148.4
1994-08-01 00:00:00,1998-02-23 00:00:00,1995-01-01 00:00:00,149.1
1994-08-01 00:00:00,1999-02-18 00:00:00,1998-02-24 00:00:00,149.2
1994-08-01 00:00:00,2002-02-19 00:00:00,1999-02-19 00:00:00,149.1
1994-08-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,149.0
1994-09-01 00:00:00,2002-02-19 00:00:00,1995-01-01 00:00:00,149.4
1994-09-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,149.3
1994-10-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,149.5
1994-10-01 00:00:00,1996-02-27 00:00:00,1995-02-15 00:00:00,149.6
1994-10-01 00:00:00,1997-02-18 00:00:00,1996-02-28 00:00:00,149.5
1994-10-01 00:00:00,1999-02-18 00:00:00,1997-02-19 00:00:00,149.6
1994-10-01 00:00:00,2002-02-19 00:00:00,1999-02-19 00:00:00,149.5
1994-10-01 00:00:00,2018-06-30 00:00:00,2002-02-20 00:00:00,149.4
1994-11-01 00:00:00,1995-02-14 00:00:00,1995-01-01 00:00:00,149.9
1994-11-01 00:00:00,1996-02-27 00:00:00,1995-02-15 00:00:00,149.8
