date,realtime_end,realtime_start,FF
2009-01-01 00:00:00,2018-06-30,2009-01-31,0.15
2009-02-01 00:00:00,2018-06-30,2009-02-28,0.22
2009-03-01 00:00:00,2018-06-30,2009-03-31,0.18
2009-04-01 00:00:00,2018-06-30,2009-04-30,0.15
2009-05-01 00:00:00,2018-06-30,2009-05-31,0.18
2009-06-01 00:00:00,2018-06-30,2009-06-30,0.21
2009-07-01 00:00:00,2018-06-30,2009-07-31,0.16
2009-08-01 00:00:00,2018-06-30,2009-08-31,0.16
2009-09-01 00:00:00,2018-06-30,2009-09-30,0.15
2009-10-01 00:00:00,2018-06-30,2009-10-31,0.12
2009-11-01 00:00:00,2018-06-30,2009-11-30,0.12
2009-12-01 00:00:00,2018-06-30,2009-12-31,0.12
2010-01-01 00:00:00,2018-06-30,2010-01-31,0.11
2010-02-01 00:00:00,2018-06-30,2010-02-28,0.13
2010-03-01 00:00:00,2018-06-30,2010-03-31,0.16
2010-04-01 00:00:00,2018-06-30,2010-04-30,0.2
2010-05-01 00:00:00,2018-06-30,2010-05-31,0.2
2010-06-01 00:00:00,2018-06-30,2010-06-30,0.18
2010-07-01 00:00:00,2018-06-30,2010-07-31,0.18
2010-08-01 00:00:00,2018-06-30,2010-08-31,0.19
2010-09-01 00:00:00,2018-06-30,2010-09-30,0.19
2010-10-01 00:00:00,2018-06-30,2010-10-31,0.19
2010-11-01 00:00:00,2018-06-30,2010-11-30,0.19
2010-12-01 00:00:00,2018-06-30,2010-12-31,0.18
2011-01-01 00:00:00,2018-06-30,2011-01-31,0.17
2011-02-01 00:00:00,2018-06-30,2011-02-28,0.16
2011-03-01 00:00:00,2018-06-30,2011-03-31,0.14
2011-04-01 00:00:00,2018-06-30,2011-04-30,0.1
2011-05-01 00:00:00,2018-06-30,2011-05-31,0.09
2011-06-01 00:00:00,2018-06-30,2011-06-30,0.09
2011-07-01 00:00:00,2018-06-30,2011-07-31,0.07
2011-08-01 00:00:00,2018-06-30,2011-08-31,0.1
2011-09-01 00:00:00,2018-06-30,2011-09-30,0.08
2011-10-01 00:00:00,2018-06-30,2011-10-31,0.07
2011-11-01 00:00:00,2018-06-30,2011-11-30,0.08
2011-12-01 00:00:00,2018-06-30,2011-12-31,0.07
2012-01-01 00:00:00,2018-06-30,2012-01-31,0.08
2012-02-01 00:00:00,2018-06-30,2012-02-29,0.1
2012-03-01 00:00:00,2018-06-30,2012-03-31,0.13
2012-04-01 00:00:00,2018-06-30,2012-04-30,0.14
2012-05-01 00:00:00,2018-06-30,2012-05-31,0.16
2012-06-01 00:00:00,2018-06-30,2012-06-30,0.16
