date,realtime_end,realtime_start,AWH
1983-11-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.9
1983-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.8
1983-12-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.9
1983-12-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,72.3
1983-12-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,72.2
1983-12-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,72.1
1984-01-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,105.4
1984-01-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,72.6
1984-01-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,72.5
1984-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,72.4
1984-02-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,106.5
1984-02-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,73.5
1984-02-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,73.4
1984-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,73.3
1984-03-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,106.2
1984-03-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,73.3
1984-03-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,73.2
1984-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,73.1
1984-04-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,107.1
1984-04-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,73.8
1984-04-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,73.9
1984-04-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,73.8
1984-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,73.7
1984-05-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,107.2
1984-05-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,73.9
1984-05-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,73.8
1984-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,73.7
1984-06-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,107.6
1984-06-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,74.2
1984-06-01 00:00:00,2016-02-04 00:00:00,2014-02-07 00:00:00,74.1
1984-06-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,74.0
1984-07-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,107.9
1984-07-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,74.5
1984-07-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,74.4
1984-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,74.3
1984-08-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,107.9
1984-08-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,74.4
1984-08-01 00:00:00,2016-02-04 00:00:00,2014-02-07 00:00:00,74.3
1984-08-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,74.2
1984-09-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,108.5
1984-09-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,74.9
1984-09-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,74.8
1984-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,74.7
1984-10-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,108.5
1984-10-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,74.7
1984-10-01 00:00:00,2016-02-04 00:00:00,2013-02-01 00:00:00,74.6
1984-10-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,74.5
1984-11-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,109.1
1984-11-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,75.2
1984-11-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,75.1
1984-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,75.0
1984-12-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,109.4
1984-12-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,75.5
1984-12-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,75.6
1984-12-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,75.5
1984-12-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,75.4
1985-01-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,109.4
1985-01-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,75.4
1985-01-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,75.3
1985-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,75.2
1985-02-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,109.3
1985-02-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,75.3
1985-02-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,75.2
1985-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,75.1
1985-03-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,110.1
1985-03-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,75.8
1985-03-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,75.7
1985-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,75.6
1985-04-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,109.8
1985-04-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,75.9
1985-04-01 00:00:00,2016-02-04 00:00:00,2013-02-01 00:00:00,75.8
1985-04-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,75.7
1985-05-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,110.4
1985-05-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,76.1
1985-05-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,76.2
1985-05-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,76.1
1985-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,76.0
1985-06-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,110.5
1985-06-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,76.2
1985-06-01 00:00:00,2016-02-04 00:00:00,2014-02-07 00:00:00,76.1
1985-06-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,76.0
1985-07-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,110.2
