date,realtime_end,realtime_start,EMP
1984-04-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,93771.0
1984-04-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,93774.0
1984-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,93792.0
1984-05-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,93952.0
1984-05-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,94081.0
1984-05-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,94082.0
1984-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,94100.0
1984-06-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,94325.0
1984-06-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,94460.0
1984-06-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,94461.0
1984-06-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,94479.0
1984-07-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,94647.0
1984-07-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,94773.0
1984-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,94792.0
1984-08-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,94885.0
1984-08-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,95013.0
1984-08-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,95014.0
1984-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,95034.0
1984-09-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,95186.0
1984-09-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,95327.0
1984-09-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,95325.0
1984-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,95344.0
1984-10-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,95499.0
1984-10-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,95612.0
1984-10-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,95611.0
1984-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,95630.0
1984-11-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,95829.0
1984-11-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,95960.0
1984-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,95979.0
1984-12-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,95997.0
1984-12-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,96086.0
1984-12-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,96087.0
1984-12-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,96107.0
1985-01-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,96249.0
1985-01-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,96353.0
1985-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,96373.0
1985-02-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,96397.0
1985-02-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,96477.0
1985-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,96497.0
1985-03-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,96734.0
1985-03-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,96823.0
1985-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,96843.0
1985-04-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,96896.0
1985-04-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,97017.0
1985-04-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,97018.0
1985-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,97039.0
1985-05-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,97163.0
1985-05-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,97292.0
1985-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,97313.0
1985-06-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,97280.0
1985-06-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,97437.0
1985-06-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,97459.0
1985-07-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,97465.0
1985-07-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,97626.0
1985-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,97649.0
1985-08-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,97696.0
1985-08-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,97819.0
1985-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,97842.0
1985-09-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,97878.0
1985-09-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,98024.0
1985-09-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,98023.0
1985-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,98045.0
1985-10-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,98098.0
1985-10-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,98210.0
1985-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,98233.0
1985-11-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,98286.0
1985-11-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,98419.0
1985-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,98442.0
1985-12-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,98500.0
1985-12-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,98587.0
1985-12-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,98609.0
1986-01-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,98599.0
1986-01-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,98710.0
1986-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,98734.0
1986-02-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,98718.0
1986-02-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,98816.0
1986-02-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,98817.0
1986-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,98841.0
1986-03-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,98796.0
1986-03-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,98911.0
1986-03-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,98910.0
1986-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,98935.0
1986-04-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,98974.0
1986-04-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,99098.0
1986-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,99122.0
1986-05-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,99096.0
1986-05-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,99223.0
1986-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,99249.0
1986-06-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,98973.0
1986-06-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,99130.0
1986-06-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,99155.0
1986-07-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,99276.0
1986-07-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,99448.0
1986-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,99473.0
1986-08-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,99435.0
1986-08-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,99560.0
1986-08-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,99561.0
1986-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,99587.0
1986-09-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,99747.0
1986-09-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,99909.0
1986-09-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,99907.0
1986-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,99934.0
1986-10-01 00:00:00,2003-06-05 00:00:00,1995-01-01 00:00:00,99980.0
1986-10-01 00:00:00,2003-10-09 00:00:00,2003-06-06 00:00:00,100093.0
1986-10-01 00:00:00,2014-02-06 00:00:00,2003-10-10 00:00:00,100094.0
1986-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,100120.0
