date,realtime_end,realtime_start,IP
1980-12-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,51.1172
1980-12-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,51.2129
1980-12-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,51.18
1980-12-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,51.1886
1980-12-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,53.0021
1980-12-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,53.2684
1980-12-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,53.0142
1980-12-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,52.7676
1981-01-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,85.2
1981-01-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,80.396
1981-01-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,80.436
1981-01-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,64.226
1981-01-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,64.048
1981-01-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,63.244
1981-01-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,63.397
1981-01-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,56.875
1981-01-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,56.8746
1981-01-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,55.8804
1981-01-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,56.9966
1981-01-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,57.0157
1981-01-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,50.7251
1981-01-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,50.8279
1981-01-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,50.9245
1981-01-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,50.8967
1981-01-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,50.9085
1981-01-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,52.7091
1981-01-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,52.9637
1981-01-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,52.7119
1981-01-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,52.4688
1981-02-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,85.4
1981-02-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,80.781
1981-02-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,80.821
1981-02-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,63.963
1981-02-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,63.786
1981-02-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,63.036
1981-02-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,63.086
1981-02-01 00:00:00,2006-12-10 00:00:00,2005-11-07 00:00:00,56.564
1981-02-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,55.5799
1981-02-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,56.7006
1981-02-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,56.7398
1981-02-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,50.4762
1981-02-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,50.5912
1981-02-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,50.6868
1981-02-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,50.6602
1981-02-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,50.6585
1981-02-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,52.453
1981-02-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,52.7111
1981-02-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,52.4633
1981-02-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,52.2219
1981-03-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,85.7
1981-03-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,81.147
1981-03-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,81.187
1981-03-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,64.292
1981-03-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,64.114
1981-03-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,63.361
1981-03-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,63.409
1981-03-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,56.887
1981-03-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,56.8871
1981-03-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,55.8986
1981-03-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,57.0229
1981-03-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,57.0503
1981-03-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,50.7497
1981-03-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,50.8564
1981-03-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,50.952
1981-03-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,50.9233
1981-03-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,50.9285
1981-03-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,52.7285
1981-03-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,53.0006
1981-03-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,52.7501
1981-03-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,52.5009
1981-04-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,85.0
